	Of-098	Of-104	Of-112	Of-114	Of-126	Of-130	Of-142	Of-150	Of-152	Of-154	Of-158	Of-162	Of-170	Of-180	Of-200	Of-202	Of-216	Of-224	Of-266	
Ofaveolata008467	4	2	8	0	0	2	0	0	7	0	0	16	1	0	0	0	0	6	3	
Ofaveolata008470	15	1	0	4	32	11	0	7	0	0	0	34	15	2	0	4	0	9	36	
Ofaveolata008471	24	9	4	3	22	17	5	11	3	0	0	55	20	0	17	4	1	18	42	
Ofaveolata008473	4	1	2	0	6	0	4	0	0	1	0	5	6	0	0	0	0	2	0	
Ofaveolata008474	24	39	14	19	25	32	30	8	9	2	5	26	23	13	4	46	8	14	39	
Ofaveolata008477	69	31	34	36	160	145	64	80	53	7	29	500	357	116	56	155	6	190	148	
Ofaveolata008478	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
Ofaveolata008479	40	20	22	0	48	53	12	11	5	4	0	91	56	18	0	28	1	23	95	
Ofaveolata008480	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
Ofaveolata008481	190	167	17	12	131	75	20	17	1	0	0	96	42	9	20	5	0	52	246	
Ofaveolata008482	2	0	0	0	0	2	1	0	0	0	0	7	0	1	0	0	0	7	2	
Ofaveolata008483	214	72	69	8	297	109	63	66	34	11	2	319	172	64	18	84	2	94	355	
Ofaveolata008484	111	20	35	21	221	157	83	21	9	6	5	153	43	11	45	43	3	48	353	
Ofaveolata008485	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Ofaveolata008486	45	5	33	7	52	31	38	21	7	0	4	131	76	23	1	27	4	46	159	
Ofaveolata008487	6	3	7	1	10	12	1	11	0	0	0	14	3	5	0	0	0	11	49	
Ofaveolata008488	1	0	1	0	2	0	0	0	0	0	0	5	6	0	0	0	0	4	8	
Ofaveolata008489	12	0	2	0	30	5	0	1	0	0	0	30	18	0	0	0	0	7	48	
Ofaveolata008490	10	0	0	5	9	5	2	0	0	0	2	29	9	5	0	1	0	7	10	
Ofaveolata008491	10	0	1	11	9	3	10	1	3	0	0	10	10	0	0	0	0	5	40	
Ofaveolata008492	15	1	3	0	34	12	10	2	7	0	0	40	26	6	5	13	0	6	52	
Ofaveolata008494	67	29	6	4	47	53	23	11	12	3	0	77	43	1	1	24	2	42	100	
Ofaveolata008495	3	0	1	1	11	5	6	6	0	1	0	7	6	1	0	0	0	4	21	
Ofaveolata008496	3	0	0	0	4	4	3	1	0	0	0	4	1	0	0	0	0	1	6	
Ofaveolata008497	4	0	0	0	5	0	3	3	9	0	0	4	9	0	0	0	0	1	4	
Ofaveolata008498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
Ofaveolata008499	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata008501	20	21	20	7	31	12	7	3	21	0	4	62	22	36	113	47	2	23	57	
Ofaveolata008502	1	0	2	0	2	1	0	0	1	0	0	18	3	0	0	0	0	3	14	
Ofaveolata008505	5	3	3	0	20	2	0	5	0	0	0	19	8	6	0	0	0	9	13	
Ofaveolata008506	10	0	6	1	13	1	6	1	2	0	0	31	8	1	0	9	0	8	20	
Ofaveolata008507	2	0	1	0	2	9	4	1	0	0	0	30	10	3	1	4	1	8	11	
Ofaveolata008508	13	7	1	2	6	5	6	1	0	0	1	12	1	4	1	3	0	1	4	
Ofaveolata008509	1	0	10	4	17	17	6	8	4	1	6	47	26	12	0	10	6	21	58	
Ofaveolata008510	6	0	5	0	7	5	3	2	0	0	0	23	13	4	0	3	0	5	25	
Ofaveolata008511	3	0	9	0	15	9	5	1	1	0	1	13	19	0	2	2	5	3	29	
Ofaveolata008512	18	2	6	2	4	16	12	3	0	1	0	25	10	11	11	5	0	6	24	
Ofaveolata008513	27	0	8	5	38	32	29	5	2	0	0	50	23	6	4	10	1	29	124	
Ofaveolata008514	31	2	21	7	140	41	27	25	0	4	3	117	87	24	2	38	4	39	81	
Ofaveolata008515	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	
Ofaveolata008518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	
Ofaveolata008520	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008521	23	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	
Ofaveolata008526	6	0	1	0	0	6	5	0	0	0	0	37	8	2	0	0	0	9	11	
Ofaveolata008527	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008529	0	0	0	0	12	0	0	0	0	0	0	3	0	0	1	0	0	0	2	
Ofaveolata008530	1	0	0	0	18	0	0	1	0	0	0	0	1	0	8	0	0	2	2	
Ofaveolata008531	24	11	6	2	51	10	11	8	3	0	18	33	15	1	34	19	0	19	44	
Ofaveolata008532	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	
Ofaveolata008533	3	0	5	0	5	13	0	0	0	0	6	9	3	0	0	1	0	4	22	
Ofaveolata008534	59	45	4	2	7	11	2	2	0	2	0	18	4	0	0	5	1	2	48	
Ofaveolata008535	18	11	14	0	0	34	6	2	0	0	4	8	6	0	0	2	0	8	49	
Ofaveolata008537	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	4	
Ofaveolata008538	6	0	0	0	8	2	3	0	0	0	0	7	0	2	0	0	0	0	4	
Ofaveolata008543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008545	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	
Ofaveolata008549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008550	5	6	5	5	4	7	5	0	0	0	0	12	10	9	0	0	1	3	21	
Ofaveolata008551	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	4	0	0	1	
Ofaveolata008552	5	2	11	1	10	5	2	8	0	1	1	28	5	1	1	4	0	3	26	
Ofaveolata008553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
Ofaveolata008555	49	5	6	9	62	33	21	34	3	6	0	103	57	8	4	31	2	21	85	
Ofaveolata008556	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	4	0	2	4	
Ofaveolata008557	7	2	0	0	6	9	2	1	0	0	0	17	2	1	0	0	0	4	44	
Ofaveolata008559	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	8	
Ofaveolata008560	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008561	0	0	2	0	8	0	3	1	0	0	0	4	8	0	0	0	0	5	21	
Ofaveolata008562	34	0	17	0	58	24	12	14	7	0	5	98	35	15	2	16	1	18	74	
Ofaveolata008563	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	
Ofaveolata008564	0	0	4	0	2	0	6	3	5	0	0	25	14	2	0	3	0	2	27	
Ofaveolata008565	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008567	0	0	1	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	2	
Ofaveolata008568	5	8	5	0	17	5	18	8	0	0	0	16	7	0	1	3	0	2	22	
Ofaveolata008569	23	7	8	0	16	14	8	1	0	0	1	35	11	1	0	0	0	7	33	
Ofaveolata008570	4	0	3	1	6	7	4	1	1	0	0	45	24	9	0	2	1	16	101	
Ofaveolata008571	5	8	0	0	1	3	2	0	0	0	0	4	1	0	0	1	0	0	7	
Ofaveolata008572	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008573	1	0	0	0	3	0	0	4	0	0	0	9	2	0	0	0	0	1	1	
Ofaveolata008574	9	10	0	1	26	9	6	2	0	0	5	8	4	0	0	1	0	3	18	
Ofaveolata008577	11	3	6	1	9	6	3	0	4	3	1	16	9	5	0	22	0	5	25	
Ofaveolata008578	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008580	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008581	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008582	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	
Ofaveolata008586	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Ofaveolata008589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
Ofaveolata008590	2	0	1	0	7	1	2	1	0	0	0	18	2	0	0	0	0	1	6	
Ofaveolata008592	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008595	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008598	24	2	8	9	18	11	7	2	1	0	0	63	24	11	1	4	3	10	32	
Ofaveolata008599	8	2	0	0	3	0	5	0	0	0	0	0	0	0	2	7	0	0	5	
Ofaveolata008600	1	3	3	0	5	5	6	0	0	0	0	10	5	0	0	0	0	3	5	
Ofaveolata008601	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008603	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	
Ofaveolata008604	2	0	1	0	1	2	1	0	1	0	0	2	2	1	0	0	0	1	5	
Ofaveolata008606	40	14	6	0	40	59	17	10	4	0	0	79	42	12	1	11	0	24	93	
Ofaveolata008608	171	360	31	43	114	140	46	14	49	2	0	91	51	15	5	67	8	29	233	
Ofaveolata008610	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	4	
Ofaveolata008613	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008615	13	0	1	0	20	4	2	0	2	0	0	32	10	0	0	0	0	8	35	
Ofaveolata008616	77	19	94	37	290	212	62	82	74	22	2	943	297	126	50	188	25	284	709	
Ofaveolata008617	31	4	8	12	52	11	17	8	5	8	10	31	17	11	17	11	2	8	88	
Ofaveolata008618	19	12	12	3	13	16	8	4	1	0	0	28	26	2	0	3	0	11	72	
Ofaveolata008619	2	0	0	0	3	2	0	1	2	0	0	1	0	0	2	0	0	3	3	
Ofaveolata008620	12	0	3	3	28	1	3	4	2	3	0	28	7	0	0	2	0	4	41	
Ofaveolata008621	25	1	8	15	34	24	9	9	0	6	5	87	36	6	1	10	3	34	82	
Ofaveolata008625	48	27	31	3	48	67	39	20	9	2	1	165	67	24	18	27	3	39	57	
Ofaveolata008626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008629	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Ofaveolata008630	8	0	8	1	3	22	9	7	1	6	0	20	12	13	0	9	0	3	6	
Ofaveolata008631	19	3	8	5	0	6	1	0	7	6	0	3	12	3	5	2	0	4	1	
Ofaveolata008634	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
Ofaveolata008642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata008643	0	0	0	0	1	0	0	1	0	0	0	0	3	2	0	0	0	0	21	
Ofaveolata008644	8	0	1	0	9	3	3	0	0	0	0	10	3	0	0	0	0	3	19	
Ofaveolata008648	7	0	1	0	3	1	0	1	1	0	0	11	2	0	0	0	0	0	11	
Ofaveolata008655	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	8	
Ofaveolata008658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008661	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008662	1	0	0	0	0	0	0	0	3	0	2	8	3	2	1	8	3	2	7	
Ofaveolata008665	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008666	4	0	0	0	3	2	0	0	0	0	0	16	5	0	0	0	0	2	17	
Ofaveolata008667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008673	1	2	1	3	5	10	12	2	2	0	1	17	10	4	0	2	0	2	24	
Ofaveolata008679	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
Ofaveolata008680	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	
Ofaveolata008681	9	2	6	0	4	38	10	0	0	0	0	15	6	7	0	1	1	17	36	
Ofaveolata008682	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008687	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	
Ofaveolata008688	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	4	
Ofaveolata008690	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008692	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Ofaveolata008694	26	40	4	9	26	18	6	23	3	2	3	28	22	5	7	33	1	7	50	
Ofaveolata008699	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008702	5	0	1	0	0	4	0	0	2	0	0	2	2	2	0	3	0	0	2	
Ofaveolata008705	5	5	10	10	1	10	10	3	6	0	5	18	12	3	0	6	3	15	16	
Ofaveolata008706	1	0	0	0	0	2	0	0	0	0	0	17	6	0	0	4	0	4	18	
Ofaveolata008707	7	0	0	0	3	7	2	0	7	0	0	29	14	8	0	4	0	10	25	
Ofaveolata008708	3	0	0	0	1	2	0	0	0	0	0	4	4	0	0	0	2	0	7	
Ofaveolata008709	2	2	0	1	6	7	0	0	0	0	0	19	10	4	1	0	0	0	2	
Ofaveolata008712	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata008713	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008714	4	1	5	4	3	2	0	1	0	0	0	2	0	4	0	2	0	4	13	
Ofaveolata008718	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata008727	2	17	3	0	2	6	7	2	0	0	0	8	10	0	2	6	0	1	12	
Ofaveolata008728	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Ofaveolata008730	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008731	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata008735	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008745	3	1	1	0	4	3	0	1	0	0	0	9	15	1	0	1	0	2	6	
Ofaveolata008746	0	0	0	0	2	0	0	0	0	0	0	8	2	0	0	0	0	0	4	
Ofaveolata008748	3	1	1	0	3	3	2	0	0	0	0	7	7	0	0	8	0	1	8	
Ofaveolata008749	515	71	357	58	596	947	242	229	122	17	11	1544	783	205	11	252	12	653	1435	
Ofaveolata008750	1	0	2	0	2	1	0	0	0	0	0	0	2	0	0	0	2	0	8	
Ofaveolata008754	4	0	2	0	8	0	7	3	0	0	0	26	6	2	0	0	0	3	15	
Ofaveolata008756	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008757	13	28	5	4	28	8	3	1	5	0	0	27	20	9	0	8	1	13	35	
Ofaveolata008758	0	0	1	0	4	0	0	1	0	0	0	6	3	0	0	0	0	1	13	
Ofaveolata008759	334	356	171	161	180	246	254	147	126	50	73	350	243	168	203	248	29	190	353	
Ofaveolata008760	47	1	14	4	203	23	8	17	2	0	4	52	30	15	0	6	0	18	112	
Ofaveolata008762	46	13	15	1	47	26	10	8	0	0	0	40	26	13	4	8	0	13	90	
Ofaveolata008763	12	3	5	0	18	17	6	8	7	0	2	43	20	2	8	8	0	15	51	
Ofaveolata008764	28	2	2	11	101	26	17	3	0	0	0	25	11	3	3	4	0	2	24	
Ofaveolata008765	6	0	0	0	4	0	1	0	0	0	0	5	0	0	0	1	0	0	6	
Ofaveolata008766	0	0	0	0	0	0	0	3	0	6	0	1	0	4	0	0	0	0	3	
Ofaveolata008767	58	29	27	12	64	93	65	34	3	7	3	121	114	20	3	34	4	51	220	
Ofaveolata008768	9	0	1	0	11	6	6	11	2	2	0	14	10	0	0	1	0	10	30	
Ofaveolata008769	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	3	
Ofaveolata008770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Ofaveolata008778	3	0	13	2	8	7	1	12	12	0	0	99	49	17	0	11	0	23	8	
Ofaveolata008779	5	0	0	0	4	2	0	0	0	0	0	1	7	0	0	0	0	2	4	
Ofaveolata008780	3582	2007	926	477	3424	3089	1403	924	467	121	186	2731	1841	603	265	979	80	1086	6392	
Ofaveolata008781	37	53	33	38	47	33	30	44	12	5	4	101	78	51	7	58	5	31	84	
Ofaveolata008782	85	37	16	10	79	76	50	21	10	1	7	92	43	14	4	22	4	35	136	
Ofaveolata008783	0	0	1	0	2	1	1	7	3	1	0	13	4	0	0	11	0	1	22	
Ofaveolata008784	9	13	0	0	14	20	12	10	3	0	0	73	12	1	1	0	2	14	130	
Ofaveolata008785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Ofaveolata008787	23	5	6	0	1	49	1	0	0	0	0	15	3	0	0	0	0	6	143	
Ofaveolata008789	63	7	82	21	67	84	96	46	13	3	2	256	90	29	1	46	1	102	333	
Ofaveolata008790	45	13	4	0	18	5	5	0	0	0	0	30	5	5	0	0	2	4	13	
Ofaveolata008791	603	459	95	25	225	197	77	45	46	0	4	423	183	43	0	79	0	200	209	
Ofaveolata008792	30	13	4	4	21	40	5	21	4	0	1	69	20	0	0	11	0	16	61	
Ofaveolata008794	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	
Ofaveolata008795	4	21	4	8	6	13	0	2	0	1	0	24	8	5	0	1	1	2	19	
Ofaveolata008796	0	0	0	0	1	2	0	3	0	0	0	1	3	0	0	0	0	0	0	
Ofaveolata008797	1	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	3	
Ofaveolata008798	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	
Ofaveolata008799	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	
Ofaveolata008800	5	0	0	0	0	2	4	0	0	0	0	12	3	0	0	1	0	1	1	
Ofaveolata008801	8	2	2	0	3	1	9	8	4	0	0	18	10	6	0	2	3	2	10	
Ofaveolata008802	305	60	83	26	155	130	95	70	11	0	17	208	120	64	22	85	6	68	342	
Ofaveolata008807	25	8	13	9	44	25	19	7	1	11	1	45	30	7	1	13	0	25	70	
Ofaveolata008808	107	136	34	55	77	104	96	31	10	16	17	70	41	38	65	84	4	39	110	
Ofaveolata008809	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Ofaveolata008810	5	3	0	0	7	6	2	0	0	0	2	9	4	0	0	0	0	2	5	
Ofaveolata008811	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	1	
Ofaveolata008814	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	
Ofaveolata008815	2	30	15	12	11	3	12	2	0	0	0	29	26	1	0	7	0	14	22	
Ofaveolata008816	7	0	3	0	15	6	1	0	3	0	0	27	11	3	0	3	3	0	38	
Ofaveolata008817	15	13	15	0	21	25	10	3	10	1	0	46	28	6	0	12	0	11	31	
Ofaveolata008818	29	7	3	2	23	47	2	5	4	0	0	25	13	0	1	3	0	12	28	
Ofaveolata008819	6	1	3	9	13	9	0	2	1	0	0	6	10	4	0	5	1	7	31	
Ofaveolata008820	3	0	0	0	8	0	0	1	0	0	0	9	6	1	0	0	1	3	5	
Ofaveolata008821	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	
Ofaveolata008822	31	5	0	4	9	11	5	0	0	0	0	7	2	0	5	2	0	1	32	
Ofaveolata008824	3	0	5	1	5	4	2	0	1	0	0	3	1	0	0	0	1	0	7	
Ofaveolata008825	108	72	9	17	16	43	15	7	5	0	0	22	19	0	0	7	0	13	93	
Ofaveolata008826	1	3	0	0	8	0	5	1	0	0	0	10	5	0	0	0	0	1	14	
Ofaveolata008827	3	0	0	5	14	3	0	0	0	0	0	8	7	0	0	3	0	3	21	
Ofaveolata008828	2170	915	779	319	1757	1745	1091	712	392	84	140	1915	1357	619	255	930	104	953	4352	
Ofaveolata008829	8	3	1	1	14	15	12	5	2	0	0	32	7	0	0	8	0	6	95	
Ofaveolata008830	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008831	14	3	4	0	13	26	0	2	0	0	0	13	9	0	0	0	0	9	37	
Ofaveolata008832	4	2	0	1	31	3	6	6	1	0	0	19	6	1	0	5	1	0	35	
Ofaveolata008833	5	1	0	0	20	10	3	3	3	0	4	10	4	3	0	1	0	1	23	
Ofaveolata008835	29	36	11	5	44	41	19	4	7	2	0	56	35	11	0	4	0	15	119	
Ofaveolata008837	6	0	3	2	15	18	8	7	5	6	3	13	14	1	0	5	0	9	65	
Ofaveolata008838	14	9	22	1	43	29	9	13	0	0	0	48	25	19	0	9	2	14	59	
Ofaveolata008839	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008840	161	62	49	13	205	128	57	25	7	3	0	275	123	1	2	33	2	87	499	
Ofaveolata008841	57	6	34	2	106	35	25	22	5	8	0	89	44	30	10	47	4	36	75	
Ofaveolata008843	286	82	116	42	389	365	160	65	37	7	28	490	285	42	23	136	7	164	1002	
Ofaveolata008844	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008851	91	41	16	1	164	36	15	23	10	0	1	126	47	18	4	30	1	43	140	
Ofaveolata008852	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	
Ofaveolata008853	66	3	6	5	227	28	20	13	4	0	5	40	30	16	6	5	0	14	91	
Ofaveolata008854	6	1	2	0	15	8	7	1	7	0	0	15	5	0	0	1	0	5	39	
Ofaveolata008855	0	9	0	0	0	1	6	0	0	0	0	3	1	0	0	0	0	0	2	
Ofaveolata008857	43	14	2	2	57	32	6	4	5	0	0	65	23	4	9	7	0	21	48	
Ofaveolata008859	1	1	3	0	2	3	1	2	0	0	0	4	0	1	0	0	3	2	4	
Ofaveolata008860	4	0	1	0	11	0	0	1	0	0	0	12	4	0	0	0	0	0	16	
Ofaveolata008868	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008871	0	0	0	0	0	5	3	1	0	0	0	3	4	0	0	2	0	5	8	
Ofaveolata008878	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008881	6	1	2	1	5	3	1	0	0	0	1	6	9	6	0	3	0	6	31	
Ofaveolata008883	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Ofaveolata008884	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	9	0	0	21	
Ofaveolata008885	0	0	1	0	2	0	0	1	0	0	0	1	2	1	0	1	0	2	3	
Ofaveolata008889	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Ofaveolata008902	12	0	11	0	6	17	4	0	0	0	1	19	19	2	0	7	0	11	9	
Ofaveolata008906	8	5	1	0	20	9	1	3	1	0	0	20	7	4	0	2	0	2	62	
Ofaveolata008910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Ofaveolata008911	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	4	
Ofaveolata008915	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata008916	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Ofaveolata008917	1	0	3	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	3	
Ofaveolata008918	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	
Ofaveolata008919	2	0	0	0	2	0	0	0	0	0	0	1	3	0	0	6	0	0	3	
Ofaveolata008920	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	
Ofaveolata008921	1	11	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	
Ofaveolata008922	1	0	4	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	
Ofaveolata008925	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata008926	25	3	12	4	22	15	12	17	4	1	1	52	28	8	0	3	2	36	74	
Ofaveolata008927	3	0	0	0	2	0	1	0	0	0	0	7	0	0	0	0	0	7	5	
Ofaveolata008929	6	11	0	0	0	1	1	0	6	0	0	6	1	3	9	0	1	2	9	
Ofaveolata008930	1	0	0	0	0	3	1	2	4	0	0	5	3	0	0	1	0	1	7	
Ofaveolata008932	5	0	7	0	1	5	0	0	0	0	0	6	1	0	3	8	1	2	10	
Ofaveolata008935	26	0	12	4	24	24	6	20	11	2	6	42	31	23	5	22	0	12	13	
Ofaveolata008936	26	2	0	1	30	13	0	4	0	0	3	23	17	2	8	1	5	8	42	
Ofaveolata008937	46	4	19	25	59	37	11	15	19	0	0	57	39	13	1	38	5	21	119	
Ofaveolata008939	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	
Ofaveolata008946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Ofaveolata008954	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008956	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008957	1	2	1	0	8	4	1	3	0	0	0	6	5	1	0	0	0	0	10	
Ofaveolata008958	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	5	
Ofaveolata008959	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008960	10	0	0	0	5	8	0	0	0	0	0	1	0	4	0	0	0	3	20	
Ofaveolata008961	13	4	9	5	10	11	3	1	0	5	4	43	20	0	2	9	0	31	14	
Ofaveolata008962	34	37	14	1	50	39	22	24	6	0	3	70	41	6	0	12	0	17	132	
Ofaveolata008963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Ofaveolata008964	11	11	3	0	12	3	8	4	2	1	4	15	8	3	0	6	1	7	24	
Ofaveolata008965	0	0	1	0	8	8	3	0	0	0	0	3	3	7	0	0	0	5	9	
Ofaveolata008967	1	0	0	0	2	0	0	2	1	0	0	9	4	11	0	1	0	1	13	
Ofaveolata008972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
Ofaveolata008975	20	6	8	13	21	27	13	11	0	2	2	33	21	14	7	15	1	12	61	
Ofaveolata008976	13	13	12	23	45	28	29	14	17	1	3	43	57	18	3	31	5	33	50	
Ofaveolata008977	16	13	19	11	27	9	22	27	27	3	9	128	63	41	17	42	7	58	28	
Ofaveolata008978	0	0	3	0	1	0	0	0	0	0	0	10	9	0	0	0	0	3	4	
Ofaveolata008979	1	0	1	1	11	1	1	1	0	0	0	8	1	0	0	0	0	0	3	
Ofaveolata008980	0	0	0	0	4	0	0	0	0	0	0	1	7	6	0	0	0	2	1	
Ofaveolata008982	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	3	
