"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata016709",16,2,11,1,34,32,15,7,8,0,0,65,27,2,0,9,0,13,69
"Ofaveolata016710",11,5,4,2,23,16,7,1,1,0,0,32,12,0,1,9,0,3,61
"Ofaveolata016711",0,0,5,0,7,8,3,4,4,0,0,7,7,3,0,16,3,5,22
"Ofaveolata016713",55,13,13,5,49,32,14,6,0,0,2,65,30,4,0,20,0,12,119
"Ofaveolata016715",12,0,4,0,9,26,1,0,0,0,0,14,1,0,0,0,0,4,33
"Ofaveolata016716",20,5,3,0,9,16,7,4,0,0,0,25,13,2,0,5,1,8,25
"Ofaveolata016717",25,4,5,0,8,24,4,4,5,0,0,24,14,0,2,0,0,8,49
"Ofaveolata016718",32,4,8,0,51,26,16,4,2,7,1,49,21,3,0,6,1,19,73
"Ofaveolata016720",4,0,0,1,5,4,0,0,0,0,0,24,8,0,0,0,0,1,16
"Ofaveolata016721",25,1,8,0,62,15,9,14,3,0,0,88,31,4,5,18,0,30,98
"Ofaveolata016722",240,61,25,22,571,116,27,27,13,5,12,101,51,8,33,22,0,61,182
"Ofaveolata016727",25,22,3,4,10,15,2,4,4,0,0,31,13,0,3,6,3,13,25
"Ofaveolata016728",38,2,15,1,26,33,12,7,3,0,0,34,22,3,1,5,1,20,59
"Ofaveolata016729",10,2,6,1,8,4,1,0,0,0,0,12,5,0,0,0,0,6,19
"Ofaveolata016734",50,26,31,15,101,46,34,16,11,3,2,78,33,8,4,21,4,64,144
"Ofaveolata016735",27,14,30,13,55,56,30,6,7,0,9,83,31,6,12,36,1,32,159
"Ofaveolata016736",22,2,2,0,5,17,0,1,0,0,0,16,5,0,0,1,0,6,14
"Ofaveolata016755",9,7,7,0,17,10,8,15,6,1,0,18,4,0,2,2,0,6,17
"Ofaveolata016756",31,0,17,0,160,12,9,6,0,1,0,60,35,2,0,5,0,13,65
"Ofaveolata016763",24,45,29,8,49,73,29,30,14,0,0,16,32,35,6,30,9,8,86
"Ofaveolata016765",1,0,3,0,12,1,5,5,7,3,0,27,10,0,0,0,0,2,13
"Ofaveolata016771",571,145,189,47,1183,476,212,148,121,6,19,1088,454,119,46,172,2,430,1413
"Ofaveolata016772",19,0,30,0,51,17,18,22,11,4,6,121,55,8,5,15,0,28,60
"Ofaveolata016773",5,0,5,1,16,2,6,2,3,0,9,35,18,0,0,18,0,11,37
"Ofaveolata016774",12,1,3,0,1,3,2,7,2,5,0,31,15,4,0,8,0,8,7
"Ofaveolata016777",116,211,9,2,44,86,17,17,7,0,0,62,56,12,11,49,0,34,145
"Ofaveolata016778",221,210,29,5,131,140,36,8,22,5,3,156,69,25,8,42,6,57,283
"Ofaveolata016779",5,0,9,0,13,8,0,1,5,0,0,4,9,0,0,2,2,4,20
"Ofaveolata016783",7,2,2,6,6,2,11,7,0,0,0,8,8,0,0,13,0,0,18
"Ofaveolata016784",33,17,9,7,34,30,28,6,20,0,3,69,24,17,0,18,9,15,67
"Ofaveolata016791",5,5,5,3,11,1,6,2,0,0,0,9,10,6,0,2,0,3,27
"Ofaveolata016792",4,0,0,0,15,0,0,0,0,0,0,7,3,0,0,0,0,2,14
"Ofaveolata016794",874,330,348,165,819,1016,530,393,200,33,56,1106,719,384,104,497,51,540,1875
"Ofaveolata016796",16,91,9,2,18,37,10,4,4,3,4,30,33,8,2,12,2,29,28
"Ofaveolata016798",4,1,2,0,10,6,9,0,0,0,0,12,3,2,0,0,0,3,73
"Ofaveolata016801",48,9,17,21,58,33,13,7,3,6,1,63,31,8,5,22,1,24,121
"Ofaveolata016805",2,0,0,0,12,3,0,2,0,0,1,32,4,0,0,0,0,5,28
"Ofaveolata016806",5,0,0,3,17,6,0,3,0,0,3,11,15,6,0,0,0,0,22
"Ofaveolata016807",4,0,3,1,6,3,4,6,1,0,0,20,8,0,0,3,0,8,25
"Ofaveolata016812",1,5,5,0,19,6,0,0,0,0,5,3,3,0,0,4,0,2,15
"Ofaveolata016813",0,0,8,0,0,6,4,4,0,0,0,15,19,13,1,15,0,8,7
"Ofaveolata016814",2,4,0,0,3,12,0,3,0,0,0,1,0,0,0,0,1,0,28
"Ofaveolata016816",4,0,10,1,5,23,16,9,31,9,6,51,38,16,1,6,0,25,83
"Ofaveolata016819",12,1,0,2,6,1,0,0,0,0,0,7,2,0,0,8,0,0,14
"Ofaveolata016820",26,20,5,9,6,18,5,15,21,0,0,17,14,38,0,15,0,9,60
"Ofaveolata016823",39,4,14,7,55,46,22,5,5,0,0,44,21,11,1,7,0,12,144
"Ofaveolata016825",18,1,14,0,19,8,4,4,2,0,0,23,10,0,0,0,0,5,58
"Ofaveolata016826",12,3,2,1,35,26,15,6,1,0,9,35,20,6,4,7,0,11,65
"Ofaveolata016833",3,1,5,0,19,7,3,0,0,0,0,10,1,0,0,1,0,3,20
"Ofaveolata016839",5,0,1,6,4,7,10,3,6,0,0,11,8,7,0,7,1,7,23
"Ofaveolata016840",91,20,16,5,50,53,16,12,6,0,6,66,45,7,2,19,0,18,89
"Ofaveolata016843",1,0,6,0,0,1,2,0,0,0,0,10,10,0,0,0,0,2,2
"Ofaveolata016850",14,1,11,11,9,19,21,0,12,1,0,29,33,3,15,39,0,22,61
"Ofaveolata016851",2,0,0,0,4,4,0,0,2,0,0,8,13,7,2,3,0,8,25
"Ofaveolata016852",1,0,5,0,4,6,7,7,0,0,1,59,38,0,0,31,0,12,23
"Ofaveolata016855",60,4,27,0,47,26,21,12,7,0,0,82,34,18,0,49,1,31,72
"Ofaveolata016857",20,5,15,12,13,17,13,6,2,0,0,27,3,1,10,0,3,4,58
"Ofaveolata016858",27,7,13,3,28,20,8,3,7,0,1,47,18,7,0,6,0,14,62
"Ofaveolata016859",136,458,9,22,2,42,1,0,5,0,0,1,0,0,0,0,0,9,416
"Ofaveolata016860",7,0,4,0,3,0,8,2,4,0,0,12,5,0,0,7,0,5,19
"Ofaveolata016863",38,15,6,4,36,16,17,7,13,0,0,43,14,14,31,17,1,8,37
"Ofaveolata016864",135,97,5,7,40,14,6,4,3,9,3,19,14,2,80,7,0,8,34
"Ofaveolata016865",11,6,5,12,15,12,7,0,7,0,0,2,12,10,0,0,0,2,18
"Ofaveolata016866",70,50,6,7,30,88,2,2,4,0,0,27,18,0,1,9,0,42,133
"Ofaveolata016868",91,13,11,4,115,64,6,5,14,4,1,53,17,3,1,19,0,18,79
"Ofaveolata016872",17,8,20,3,25,20,11,9,2,0,0,47,43,10,2,16,1,16,60
"Ofaveolata016873",10,1,0,0,7,3,8,0,1,0,0,6,11,4,0,0,0,10,6
"Ofaveolata016874",19,1,1,0,20,15,10,11,0,0,0,32,14,2,0,0,0,6,40
"Ofaveolata016875",19,0,2,4,36,19,6,4,0,0,0,30,22,0,0,2,0,18,40
"Ofaveolata016876",5,0,6,0,12,8,0,0,0,0,0,10,3,5,0,0,0,0,14
"Ofaveolata016878",8,2,153,18,56,249,173,80,80,15,0,658,667,260,3,231,14,273,531
"Ofaveolata016879",5,0,2,0,6,4,9,1,4,0,0,8,5,1,1,3,0,15,22
"Ofaveolata016907",0,1,5,0,13,4,3,0,1,0,0,16,3,0,0,0,0,0,21
"Ofaveolata016941",3,0,10,0,9,5,2,2,0,0,2,17,8,1,0,1,0,1,15
"Ofaveolata016942",18,16,6,4,28,23,1,6,1,0,0,59,24,0,0,1,0,29,29
"Ofaveolata016943",6,0,14,2,7,19,13,8,16,0,2,19,25,4,0,6,4,10,33
"Ofaveolata016945",18,5,7,4,27,9,15,0,1,0,6,21,22,4,0,3,0,12,61
"Ofaveolata016948",1855,853,512,277,1771,1496,761,610,235,68,84,1475,1100,387,233,646,60,664,3462
"Ofaveolata016949",8,3,5,0,17,4,0,0,1,0,0,15,5,4,0,0,0,6,16
"Ofaveolata016950",103,28,10,11,90,107,29,25,14,0,0,99,39,8,9,18,0,49,211
"Ofaveolata016952",59,39,61,18,55,74,47,33,20,15,1,137,89,30,36,47,11,65,175
"Ofaveolata016956",3,2,46,0,8,12,3,2,0,0,0,99,46,18,0,15,1,27,10
"Ofaveolata016958",0,0,3,0,1,3,3,1,0,0,0,12,31,2,0,0,0,9,6
"Ofaveolata016959",0,0,4,0,13,2,5,3,1,0,0,26,8,12,0,1,0,6,26
"Ofaveolata016963",215,20,100,39,1047,141,99,51,38,2,8,513,188,32,49,108,3,137,794
"Ofaveolata016997",32,12,8,3,36,18,10,12,7,0,7,39,22,4,0,22,5,9,88
"Ofaveolata016999",38,8,29,13,73,24,35,32,5,13,2,83,57,14,0,31,5,18,131
"Ofaveolata017000",771,334,215,68,716,648,276,147,132,18,26,932,530,150,35,252,15,296,2187
"Ofaveolata017001",18,2,1,0,12,12,4,0,8,0,0,22,6,3,1,9,0,11,12
"Ofaveolata017002",35,3,5,20,45,40,14,7,1,5,0,44,24,14,6,4,3,6,163
"Ofaveolata017004",124,53,24,33,168,141,31,23,14,0,0,180,69,9,6,38,1,44,540
"Ofaveolata017006",55,17,414,38,67,850,336,544,280,34,9,2387,1204,483,24,534,42,643,1179
"Ofaveolata017008",229,39,27,5,207,118,32,12,14,18,4,202,83,12,17,50,3,32,468
"Ofaveolata017010",112,18,7,4,106,43,11,8,9,1,7,83,35,29,8,16,1,16,148
"Ofaveolata017012",12,1,3,2,14,16,28,2,8,0,0,21,12,5,10,7,0,18,37
"Ofaveolata017013",19,1,1,0,9,8,8,0,0,0,0,11,5,6,0,2,0,9,26
"Ofaveolata017014",23,35,0,0,10,9,0,0,0,0,0,3,1,0,0,0,0,0,5
"Ofaveolata017015",77,4,5,3,160,46,8,13,12,0,1,74,43,9,0,25,3,15,109
"Ofaveolata017018",7,0,10,0,8,16,14,4,1,0,0,20,12,0,0,8,0,9,24
"Ofaveolata017019",7,5,0,5,17,23,5,8,2,8,0,23,17,1,0,6,0,15,25
"Ofaveolata017039",5,5,5,0,25,5,2,7,0,0,0,25,5,1,0,0,0,5,0
"Ofaveolata017042",0,0,0,0,3,2,8,1,0,0,0,10,6,0,0,5,0,2,11
"Ofaveolata017043",32,17,23,7,50,23,34,12,14,1,9,46,34,18,14,29,8,20,42
"Ofaveolata017045",29,0,18,1,26,22,6,17,3,0,0,53,22,16,9,2,0,20,48
"Ofaveolata017046",13,0,0,1,17,14,2,1,6,0,0,26,17,0,0,3,0,15,46
"Ofaveolata017047",8,4,6,0,24,11,6,3,2,0,0,18,8,15,1,6,0,5,26
"Ofaveolata017049",3,0,4,0,5,10,0,0,2,0,0,6,5,10,0,3,0,2,11
"Ofaveolata017050",52,20,19,9,74,52,37,16,11,5,0,124,55,2,6,38,3,34,182
"Ofaveolata017051",18,1,6,0,45,25,23,9,12,0,0,30,22,6,0,23,1,9,51
"Ofaveolata017052",11,0,0,0,31,12,0,11,0,0,0,28,9,0,0,0,0,5,18
"Ofaveolata017055",2,0,2,1,7,3,1,9,1,0,0,12,4,0,0,4,0,0,22
"Ofaveolata017056",10,0,4,0,2,3,7,0,5,0,0,5,5,27,0,0,0,2,5
"Ofaveolata017057",104,31,44,22,19,250,33,35,6,11,17,38,18,26,12,7,6,16,222
"Ofaveolata017058",131,11,11,0,16,237,43,12,0,0,0,23,12,5,0,5,1,12,319
"Ofaveolata017062",564,234,33,38,52,1081,117,65,41,25,20,64,34,21,14,66,19,86,1178
"Ofaveolata017065",157,43,87,15,278,131,82,70,20,0,7,278,187,55,8,72,5,163,327
"Ofaveolata017066",913,546,363,279,822,1070,590,337,254,49,88,796,567,299,140,410,48,459,1887
"Ofaveolata017067",93,19,21,24,114,69,39,8,12,0,9,89,23,3,6,9,1,32,185
"Ofaveolata017068",27,17,55,9,343,51,33,34,29,0,16,86,69,40,4,94,5,68,271
"Ofaveolata017069",9,3,0,0,4,9,5,0,0,0,0,28,16,5,0,3,0,11,13
"Ofaveolata017070",36,2,19,0,46,17,5,0,7,11,0,53,37,1,0,15,0,22,79
"Ofaveolata017071",148,96,19,25,28,49,36,15,5,0,5,41,31,11,3,27,0,17,60
"Ofaveolata017073",0,0,1,0,6,9,8,1,0,0,0,18,10,0,0,5,0,2,9
"Ofaveolata017075",20,21,0,0,3,1,0,5,0,0,0,5,1,0,0,1,0,2,34
"Ofaveolata017077",5,14,0,0,6,7,3,0,0,0,0,14,9,1,2,1,0,7,19
"Ofaveolata017081",35,19,33,23,98,37,22,20,18,10,0,64,25,33,6,36,3,21,100
"Ofaveolata017082",15,8,6,0,21,19,5,6,3,4,0,31,19,4,2,17,2,12,26
"Ofaveolata017083",5,0,5,1,13,14,0,9,8,0,0,27,7,0,0,0,0,10,50
"Ofaveolata017085",35,13,4,1,40,17,3,2,7,0,0,29,16,6,3,3,1,13,69
"Ofaveolata017086",20,0,11,1,49,5,4,8,4,0,0,37,19,1,0,4,0,12,54
"Ofaveolata017088",359,224,4,0,3,6,7,3,0,0,0,4,0,1,0,0,0,3,53
"Ofaveolata017089",216,64,16,3,30,52,33,10,20,0,1,141,91,19,0,10,0,38,211
"Ofaveolata017092",12,26,20,0,35,30,9,15,9,0,0,27,26,10,7,39,0,10,72
"Ofaveolata017093",7,0,3,0,10,1,1,0,0,0,1,15,11,0,1,0,0,2,13
"Ofaveolata017094",15,0,0,0,7,19,0,0,0,0,0,4,1,1,0,0,1,0,59
"Ofaveolata017095",20,11,1,0,35,11,17,6,1,0,0,40,15,17,1,11,0,4,45
"Ofaveolata017100",4,0,1,0,14,1,2,0,0,0,0,10,26,6,0,3,0,4,23
"Ofaveolata017103",73,34,15,2,77,52,25,22,19,0,0,110,26,10,1,22,0,12,91
"Ofaveolata017104",115,62,38,16,77,38,30,11,27,1,1,107,88,19,9,32,2,19,85
"Ofaveolata017106",7,2,2,0,7,8,3,2,0,0,0,12,4,7,0,0,0,1,15
"Ofaveolata017108",11,4,1,1,8,12,1,1,3,0,0,8,17,2,0,6,0,3,26
"Ofaveolata017109",61,37,9,0,120,35,24,4,2,0,0,74,57,18,0,15,1,35,113
"Ofaveolata017111",3,17,85,3,4,32,49,112,6,13,0,79,87,56,0,10,3,68,147
"Ofaveolata017112",8,3,3,0,11,4,6,0,6,1,0,16,6,4,0,5,0,2,25
"Ofaveolata017113",13,1,24,0,20,15,12,3,8,0,0,77,23,4,1,7,2,11,52
"Ofaveolata017115",155,103,23,5,78,63,38,5,11,3,10,115,59,15,23,86,6,35,73
"Ofaveolata017117",63,23,55,9,80,135,45,32,20,3,10,407,209,32,2,77,4,117,470
"Ofaveolata017118",141,43,104,50,270,201,115,40,61,0,20,194,87,35,129,68,3,130,370
"Ofaveolata017119",23,1,14,6,38,26,16,10,7,0,2,38,25,9,0,7,2,8,86
"Ofaveolata017121",11,0,1,1,23,10,6,4,4,0,0,18,17,3,0,7,0,9,49
"Ofaveolata017122",33,67,7,0,3,5,0,6,8,0,7,16,3,9,0,16,0,8,5
"Ofaveolata017123",0,0,4,0,2,1,8,10,1,0,0,17,6,3,0,0,0,6,39
"Ofaveolata017124",8,9,5,0,20,5,0,2,0,0,1,30,15,0,0,5,0,0,22
"Ofaveolata017125",57,0,0,7,220,17,5,0,0,0,7,14,5,0,0,0,0,7,39
"Ofaveolata017127",26,4,8,18,25,40,17,4,1,1,6,41,42,17,0,9,0,24,44
"Ofaveolata017129",6,0,14,0,18,6,7,5,0,2,5,45,25,4,0,9,0,4,15
"Ofaveolata017130",29,28,0,4,2,19,10,6,0,0,0,0,0,7,0,12,0,0,85
"Ofaveolata017131",1,0,1,0,5,3,0,2,0,0,0,14,4,1,10,0,0,4,9
"Ofaveolata017132",69,46,25,22,15,53,35,10,11,2,1,49,57,20,10,23,4,32,109
"Ofaveolata017133",81,16,17,17,22,155,49,15,3,4,0,23,23,16,10,18,6,21,181
"Ofaveolata017135",14,9,2,2,8,27,16,5,0,0,0,7,19,3,1,6,0,1,42
"Ofaveolata017138",150,37,17,3,16,270,46,1,1,0,1,21,12,14,1,4,2,39,366
"Ofaveolata017139",355,68,62,4,161,819,72,62,7,16,8,215,82,19,22,94,19,95,1114
"Ofaveolata017140",401,123,69,15,199,873,86,74,25,11,8,283,86,29,9,43,0,96,1128
"Ofaveolata017141",911,615,413,138,316,1915,407,347,153,98,51,409,235,192,137,234,31,344,1630
"Ofaveolata017142",12,3,3,1,15,42,5,4,0,0,0,19,7,11,0,2,0,0,69
"Ofaveolata017146",3856,2045,1545,717,2760,3134,1975,1162,676,158,316,2827,2362,1157,461,1635,175,1984,5937
"Ofaveolata017147",42,1,9,11,28,33,27,14,9,0,8,49,27,14,0,15,2,9,65
"Ofaveolata017148",21,8,5,1,20,13,11,1,0,0,0,20,7,0,5,8,2,9,28
"Ofaveolata017150",9,0,18,1,14,7,11,7,7,1,0,31,14,7,3,21,0,8,51
"Ofaveolata017151",0,0,2,0,2,0,1,0,0,0,0,11,6,0,0,0,0,0,17
"Ofaveolata017152",71,27,25,3,110,74,12,12,4,0,0,121,75,15,4,16,0,36,182
"Ofaveolata017153",247,39,67,5,290,221,47,91,19,1,8,467,268,75,12,107,4,238,450
"Ofaveolata017155",4,0,4,0,20,2,0,1,0,0,0,25,2,2,0,0,0,1,11
"Ofaveolata017156",39,16,9,1,10,58,4,5,0,0,0,22,14,3,0,2,0,19,45
"Ofaveolata017157",201,98,35,22,113,92,34,17,18,4,0,164,109,39,3,30,4,46,323
"Ofaveolata017158",21,23,0,0,4,29,3,3,0,0,0,4,6,0,1,1,0,6,29
"Ofaveolata017159",21,17,0,0,22,28,6,0,0,0,0,16,7,20,0,0,0,10,23
"Ofaveolata017160",33,0,23,17,68,53,47,7,15,0,0,61,49,19,0,17,3,33,128
"Ofaveolata017162",172,37,54,21,149,115,33,44,33,5,7,118,76,14,84,52,5,50,176
"Ofaveolata017163",13,1,5,1,17,13,11,6,3,0,0,38,12,9,0,7,0,6,39
"Ofaveolata017166",22,10,7,0,36,13,1,9,0,0,1,23,12,0,0,16,1,5,29
"Ofaveolata017167",3,0,0,0,12,4,2,2,1,0,0,11,10,0,0,0,0,1,14
"Ofaveolata017170",0,0,9,0,3,2,0,6,0,0,0,12,11,1,0,10,1,5,7
"Ofaveolata017171",60,25,37,4,163,50,50,15,6,6,5,133,76,6,0,36,0,44,166
"Ofaveolata017172",15,1,7,7,30,15,3,7,2,0,0,23,17,1,0,11,0,7,50
"Ofaveolata017173",90,21,37,5,254,21,32,12,7,0,5,147,44,11,1,25,1,9,192
"Ofaveolata017175",9,5,1,0,9,4,9,3,0,0,0,12,14,0,1,0,0,1,27
"Ofaveolata017177",18,2,8,0,29,16,7,0,1,0,0,19,6,3,0,2,2,14,41
"Ofaveolata017178",6,0,0,0,8,1,0,0,0,0,0,10,8,0,0,0,0,1,22
"Ofaveolata017181",6,1,2,2,17,3,9,1,0,0,0,14,8,2,0,0,0,1,35
"Ofaveolata017182",16,0,3,0,13,7,2,1,0,0,0,26,8,4,0,3,0,2,56
"Ofaveolata017184",14,1,25,5,38,53,28,17,6,0,9,75,40,12,0,20,5,26,144
"Ofaveolata017185",12,0,3,0,16,2,5,0,0,0,0,12,12,0,0,2,0,8,23
"Ofaveolata017186",102,30,87,15,191,164,122,30,31,3,11,209,115,62,9,61,3,127,382
"Ofaveolata017187",5,4,7,1,17,8,3,4,0,0,1,23,7,0,0,5,0,6,24
"Ofaveolata017188",20,0,8,1,47,20,6,2,0,1,0,49,17,1,1,1,0,5,69
"Ofaveolata017189",7,0,3,0,9,11,16,1,7,2,1,21,20,0,0,1,0,9,40
"Ofaveolata017190",9,0,7,0,1,11,0,1,3,0,0,3,8,1,0,3,1,8,14
"Ofaveolata017193",4,2,4,7,13,9,8,1,0,0,2,27,12,0,3,1,0,12,7
"Ofaveolata017194",34,3,10,5,58,43,17,10,6,5,0,76,26,14,0,39,0,19,117
"Ofaveolata017201",1,0,1,0,7,3,0,4,0,0,0,24,3,8,0,0,0,10,12
"Ofaveolata017203",95,9,36,2,180,109,36,57,16,0,5,240,115,47,20,43,3,66,295
"Ofaveolata017204",25,5,1,0,20,25,14,1,3,0,0,46,15,0,0,0,0,11,47
"Ofaveolata017206",3,0,7,7,12,21,12,9,4,2,0,42,28,2,0,3,0,8,75
"Ofaveolata017214",11,0,0,0,2,2,6,0,2,0,0,16,1,1,0,0,0,2,82
"Ofaveolata017215",31,20,6,16,3,5,11,1,1,0,0,6,2,0,0,1,0,3,187
"Ofaveolata017217",15,19,13,1,8,8,3,1,1,0,0,5,3,0,0,0,0,0,56
"Ofaveolata017222",4,0,11,14,1,26,16,6,20,6,0,22,36,17,0,6,0,20,40
"Ofaveolata017223",7,2,5,0,11,44,21,1,4,0,0,50,31,17,0,7,0,15,93
"Ofaveolata017226",20,8,13,3,36,26,9,12,1,0,2,25,22,7,7,8,1,16,41
"Ofaveolata017227",20,4,0,2,45,1,0,0,1,0,1,17,17,5,2,6,1,9,25
"Ofaveolata017228",38,5,12,0,7,10,5,6,0,0,0,28,10,7,0,0,0,17,35
"Ofaveolata017234",114,85,57,0,75,343,73,38,27,9,0,233,147,36,34,58,5,93,160
"Ofaveolata017243",24,5,7,10,9,25,5,10,5,7,1,14,6,0,0,1,0,12,101
"Ofaveolata017246",3,0,34,10,25,11,21,33,13,5,3,90,48,8,0,3,3,30,40
"Ofaveolata017248",2,2,5,0,16,5,4,0,0,0,0,10,8,0,0,0,0,1,31
"Ofaveolata017249",41,5,6,2,86,50,31,10,11,1,0,69,43,17,9,13,0,20,112
"Ofaveolata017253",39,7,2,0,68,21,3,7,1,0,0,52,23,0,2,11,0,23,62
"Ofaveolata017254",5,0,7,0,12,13,7,2,8,0,0,24,9,0,1,3,0,2,20
"Ofaveolata017258",48,17,5,0,126,20,0,9,3,0,7,36,12,0,1,16,0,18,48
"Ofaveolata017260",45,16,16,6,85,45,23,23,1,3,0,102,47,28,0,15,0,25,139
"Ofaveolata017261",28,13,31,3,43,27,25,16,5,0,0,97,52,9,0,42,2,34,79
"Ofaveolata017263",20,3,6,0,19,8,4,4,1,0,0,31,4,0,0,1,0,6,63
"Ofaveolata017264",21,4,6,5,21,22,2,6,2,0,0,29,13,0,0,9,0,19,22
"Ofaveolata017268",19,0,14,1,24,18,7,11,0,0,0,29,15,12,0,12,0,11,59
"Ofaveolata017269",22,17,2,16,18,7,16,3,0,3,5,14,16,1,2,1,0,10,34
"Ofaveolata017270",58,18,9,2,26,49,37,4,9,1,0,67,39,20,2,27,0,28,90
"Ofaveolata017271",0,0,2,0,5,5,0,1,0,0,0,15,4,0,0,0,0,6,10
"Ofaveolata017279",2,0,4,4,11,4,2,1,0,0,0,17,5,0,0,3,0,13,14
"Ofaveolata017280",2,0,19,0,4,1,9,2,2,0,0,20,11,3,0,2,0,13,19
"Ofaveolata017281",1,0,3,0,9,5,15,7,3,5,8,0,4,1,0,4,2,1,14
"Ofaveolata017287",5,0,2,0,11,8,1,0,0,0,0,14,2,0,0,0,0,8,37
"Ofaveolata017289",3,0,1,0,18,15,0,0,0,2,0,21,6,2,0,4,0,1,19
"Ofaveolata017290",24,6,6,0,11,13,0,0,7,0,0,9,1,3,0,1,0,2,18
"Ofaveolata017291",71,51,37,13,227,129,38,47,21,3,14,348,125,29,4,36,3,93,429
"Ofaveolata017293",53,34,17,8,115,42,15,5,1,0,10,33,24,2,7,16,1,3,53
"Ofaveolata017294",65,27,20,0,52,41,12,8,0,0,5,48,44,15,8,0,1,14,67
"Ofaveolata017296",40,21,7,34,60,40,31,7,11,14,4,78,45,13,5,36,5,42,112
"Ofaveolata017298",36,6,8,4,35,37,9,8,0,0,5,53,26,0,3,4,0,9,27
"Ofaveolata017299",10,1,14,0,36,19,7,9,8,0,2,29,20,11,0,6,1,11,34
"Ofaveolata017300",7,2,9,3,3,3,5,1,0,1,1,13,18,8,0,3,0,2,32
"Ofaveolata017307",2,10,4,11,2,7,3,2,6,0,0,2,3,0,6,0,0,4,9
"Ofaveolata017313",3,0,2,0,3,3,6,0,0,0,0,35,20,0,0,0,0,7,21
"Ofaveolata017316",101,30,42,7,33,36,50,9,12,0,0,112,55,7,0,2,0,17,177
"Ofaveolata017318",17,9,6,0,21,10,6,1,1,0,0,51,19,4,0,0,0,5,30
"Ofaveolata017322",24,7,93,26,163,54,75,32,32,3,9,334,157,42,0,23,0,83,170
"Ofaveolata017324",29,2,47,16,131,85,55,30,21,0,1,241,120,40,0,40,6,49,294
"Ofaveolata017325",42,12,24,11,87,49,25,10,21,2,11,33,30,17,6,20,1,15,95
"Ofaveolata017327",18,1,14,9,32,15,16,13,1,0,3,75,30,5,0,21,0,7,93
"Ofaveolata017330",14,0,9,11,2,16,10,0,7,0,0,32,32,2,0,4,7,18,72
"Ofaveolata017332",4,0,0,0,2,1,1,0,0,0,0,10,9,3,0,0,0,2,14
"Ofaveolata017333",35,5,12,6,43,14,7,3,12,1,2,36,26,6,24,14,3,10,41
"Ofaveolata017335",90,23,25,11,129,54,20,17,17,1,16,116,85,41,7,44,1,51,216
"Ofaveolata017338",44,4,9,8,64,36,20,8,9,2,0,39,22,5,11,4,0,10,114
"Ofaveolata017339",25,10,9,1,24,10,9,9,2,1,1,32,8,12,0,21,0,11,33
"Ofaveolata017342",3,0,3,1,46,0,2,20,6,2,0,58,40,9,0,0,0,19,16
"Ofaveolata017343",8,0,15,0,41,21,13,11,7,0,0,87,33,3,0,9,0,24,46
"Ofaveolata017345",3,0,10,0,7,1,4,16,5,2,0,43,28,8,1,2,0,4,24
"Ofaveolata017348",24,4,11,1,43,23,13,6,9,0,3,32,24,7,13,9,1,6,42
"Ofaveolata017350",13,2,10,0,17,12,3,2,0,0,0,25,19,14,0,12,0,23,33
"Ofaveolata017352",2,0,1,0,8,3,1,0,0,0,0,22,5,0,0,8,0,0,216
"Ofaveolata017353",47,3,18,2,60,29,21,25,10,5,0,155,44,17,2,16,2,20,680
"Ofaveolata017354",31,22,11,2,45,22,13,7,3,5,0,41,12,4,0,20,0,12,72
"Ofaveolata017355",12,5,7,0,10,5,0,0,0,0,0,10,4,0,0,0,0,1,22
"Ofaveolata017356",37,11,5,7,40,53,17,6,0,0,0,39,15,1,4,10,0,19,128
"Ofaveolata017359",124,20,27,23,354,50,32,35,14,0,4,109,73,38,14,31,0,68,180
"Ofaveolata017361",55,16,29,4,70,110,40,14,20,0,4,101,43,2,1,5,2,53,247
"Ofaveolata017363",12,6,26,3,6,7,9,1,6,0,2,26,21,26,2,7,0,12,7
"Ofaveolata017365",7,0,1,3,21,1,2,0,0,0,0,31,11,3,0,2,0,12,33
"Ofaveolata017367",3,0,1,5,13,2,0,6,0,0,0,24,17,0,0,3,0,11,45
"Ofaveolata017376",2,0,0,0,11,0,0,0,0,0,0,10,2,0,0,0,0,5,5
"Ofaveolata017377",24,4,0,2,71,8,8,7,6,0,3,29,8,0,0,3,1,0,36
"Ofaveolata017378",83,62,36,22,87,102,38,26,9,0,2,104,63,17,2,33,10,35,167
"Ofaveolata017380",10,11,0,0,4,5,0,1,0,0,0,1,0,0,0,0,0,0,11
"Ofaveolata017385",59,24,21,4,69,61,20,9,5,0,0,91,41,3,1,16,2,24,117
"Ofaveolata017392",38,17,13,0,44,41,32,18,4,0,0,54,29,17,0,10,0,10,105
"Ofaveolata017407",54,83,7,9,81,19,53,43,17,0,9,44,38,26,0,49,0,26,34
"Ofaveolata017411",18,3,6,19,5,11,14,1,9,1,1,28,14,19,1,19,1,11,17
"Ofaveolata017420",13,1,12,1,12,10,3,2,2,0,0,16,15,0,0,11,0,7,11
"Ofaveolata017427",66,24,14,6,49,65,22,20,4,5,0,46,27,6,4,12,7,17,104
"Ofaveolata017428",7,0,0,0,27,0,7,2,10,0,0,27,10,7,0,2,0,4,46
